Graph,Algorithm,Max threads,median,std
"('USA-road-d.', 264346)",Boost Kruskal,1,935766.946594,60218.68811778755
"('USA-road-d.', 264346)",Boost Kruskal,2,914341.56012,87946.91210778647
"('USA-road-d.', 264346)",Boost Kruskal,4,935046.9973145,38927.11692801471
"('USA-road-d.', 264346)",Boost Kruskal,8,963065.345642,58550.21006438668
"('USA-road-d.', 264346)",Boost Kruskal,16,1002161.1777344999,79543.59540826135
"('USA-road-d.', 264346)",Boost Kruskal,32,1030044.195862,160682.281277173
"('USA-road-d.', 264346)",Boost Prim,1,455353.62701399997,54919.28689084799
"('USA-road-d.', 264346)",Boost Prim,2,414016.9642335,39023.06963742795
"('USA-road-d.', 264346)",Boost Prim,4,418095.386963,33926.85971287015
"('USA-road-d.', 264346)",Boost Prim,8,435753.24633800006,37920.585150526465
"('USA-road-d.', 264346)",Boost Prim,16,444224.25244149996,33373.79357936958
"('USA-road-d.', 264346)",Boost Prim,32,454602.09845,33712.13471896184
"('USA-road-d.', 264346)",Filter Kruskal,1,349650.908447,20059.477661474248
"('USA-road-d.', 264346)",Filter Kruskal,2,337964.038269,33900.736733597776
"('USA-road-d.', 264346)",Filter Kruskal,4,315010.862793,39439.354700882046
"('USA-road-d.', 264346)",Filter Kruskal,8,345932.8892825,45996.44884685827
"('USA-road-d.', 264346)",Filter Kruskal,16,502440.57238749997,97044.80435661138
"('USA-road-d.', 264346)",Filter Kruskal,32,1111645.6880494999,164896.68338620805
"('USA-road-d.', 264346)",Sequential Kruskal,1,401230.51886000007,50381.04159675187
"('USA-road-d.', 264346)",Sequential Kruskal,2,384164.35430949996,54005.61115856266
"('USA-road-d.', 264346)",Sequential Kruskal,4,365033.0786135,42866.093445597566
"('USA-road-d.', 264346)",Sequential Kruskal,8,355776.39245600003,45869.72374614317
"('USA-road-d.', 264346)",Sequential Kruskal,16,350899.4608155,42579.26205535449
"('USA-road-d.', 264346)",Sequential Kruskal,32,356851.0512085,84922.55370892645
"('USA-road-d.', 321270)",Boost Kruskal,1,1074144.9790035,58275.94644434782
"('USA-road-d.', 321270)",Boost Kruskal,2,1037849.7069095001,87459.69235435259
"('USA-road-d.', 321270)",Boost Kruskal,4,1082376.4179685,60506.5881509832
"('USA-road-d.', 321270)",Boost Kruskal,8,1109695.1888425,32925.12285886038
"('USA-road-d.', 321270)",Boost Kruskal,16,1151784.6999515,36681.423517953845
"('USA-road-d.', 321270)",Boost Kruskal,32,1167468.8062745,38695.804048480015
"('USA-road-d.', 321270)",Boost Prim,1,552950.24231,62394.33537811653
"('USA-road-d.', 321270)",Boost Prim,2,470301.4378665,66846.74864260029
"('USA-road-d.', 321270)",Boost Prim,4,493938.7974855,53225.95567660102
"('USA-road-d.', 321270)",Boost Prim,8,504283.172119,34966.1615282975
"('USA-road-d.', 321270)",Boost Prim,16,530874.282593,46161.476583799405
"('USA-road-d.', 321270)",Boost Prim,32,543074.9088135001,64550.39380080931
"('USA-road-d.', 321270)",Filter Kruskal,1,438559.23071300006,22725.60691203699
"('USA-road-d.', 321270)",Filter Kruskal,2,427608.762329,44241.107760796964
"('USA-road-d.', 321270)",Filter Kruskal,4,404472.399414,52138.029200854275
"('USA-road-d.', 321270)",Filter Kruskal,8,442878.2958985,55807.71546590559
"('USA-road-d.', 321270)",Filter Kruskal,16,608049.020874,170808.20609170222
"('USA-road-d.', 321270)",Filter Kruskal,32,1322673.3566895002,218254.82880568324
"('USA-road-d.', 321270)",Sequential Kruskal,1,476249.59716799995,27479.40285530971
"('USA-road-d.', 321270)",Sequential Kruskal,2,462443.703003,57125.382218981285
"('USA-road-d.', 321270)",Sequential Kruskal,4,450011.65258750005,65926.51438160516
"('USA-road-d.', 321270)",Sequential Kruskal,8,444788.404541,25268.57570385229
"('USA-road-d.', 321270)",Sequential Kruskal,16,440333.77600099996,41961.72124682244
"('USA-road-d.', 321270)",Sequential Kruskal,32,437416.94689950004,74469.21517393077
"('USA-road-d.', 1207945)",Boost Kruskal,1,5670940.818725999,363234.62650546484
"('USA-road-d.', 1207945)",Boost Kruskal,2,6097031.125,291246.27490177925
"('USA-road-d.', 1207945)",Boost Kruskal,4,6300840.0780030005,245095.82586209822
"('USA-road-d.', 1207945)",Boost Kruskal,8,6437904.217773501,231326.838600023
"('USA-road-d.', 1207945)",Boost Kruskal,16,6622648.2495115,313866.19377500634
"('USA-road-d.', 1207945)",Boost Kruskal,32,6716352.041748,440289.3246151024
"('USA-road-d.', 1207945)",Boost Prim,1,2089247.80249,226684.13087714964
"('USA-road-d.', 1207945)",Boost Prim,2,2168950.694458,207022.93028045908
"('USA-road-d.', 1207945)",Boost Prim,4,2294766.0550535,230801.39246396648
"('USA-road-d.', 1207945)",Boost Prim,8,2464613.698364,349126.78505847004
"('USA-road-d.', 1207945)",Boost Prim,16,2697052.4807125,679832.7867548794
"('USA-road-d.', 1207945)",Boost Prim,32,2803472.312988,640089.2364661951
"('USA-road-d.', 1207945)",Filter Kruskal,1,1680317.779297,57079.658624673
"('USA-road-d.', 1207945)",Filter Kruskal,2,1543159.1429440002,201537.3686283725
"('USA-road-d.', 1207945)",Filter Kruskal,4,1380035.668457,175876.8137242907
"('USA-road-d.', 1207945)",Filter Kruskal,8,1263301.348999,414960.31652544584
"('USA-road-d.', 1207945)",Filter Kruskal,16,1492285.4122315,480910.4934135475
"('USA-road-d.', 1207945)",Filter Kruskal,32,4147645.762695,827230.5565707792
"('USA-road-d.', 1207945)",Sequential Kruskal,1,1752204.2231445,214747.89381191172
"('USA-road-d.', 1207945)",Sequential Kruskal,2,1633501.7203370002,231774.44942456234
"('USA-road-d.', 1207945)",Sequential Kruskal,4,1485285.8613284999,211266.95006112353
"('USA-road-d.', 1207945)",Sequential Kruskal,8,1458898.593872,224010.37703973416
"('USA-road-d.', 1207945)",Sequential Kruskal,16,1426380.696045,132204.737745357
"('USA-road-d.', 1207945)",Sequential Kruskal,32,1410240.983032,186832.60635552226
"('USA-road-d.', 1890815)",Boost Kruskal,1,10688987.415161,839136.8090128487
"('USA-road-d.', 1890815)",Boost Kruskal,2,11490220.4387205,734714.9439104872
"('USA-road-d.', 1890815)",Boost Kruskal,4,11963958.1898195,767084.5193626994
"('USA-road-d.', 1890815)",Boost Kruskal,8,12411500.081665,976363.8258180777
"('USA-road-d.', 1890815)",Boost Kruskal,16,12497390.877685498,629378.4878154353
"('USA-road-d.', 1890815)",Boost Kruskal,32,12674194.5632325,598143.3640249894
"('USA-road-d.', 1890815)",Boost Prim,1,3768436.200073,446490.3315123479
"('USA-road-d.', 1890815)",Boost Prim,2,4063571.3209225,334901.1115588726
"('USA-road-d.', 1890815)",Boost Prim,4,4359016.468994,423588.3666909928
"('USA-road-d.', 1890815)",Boost Prim,8,4865080.2940675,518743.79496296385
"('USA-road-d.', 1890815)",Boost Prim,16,5155793.4520265,440333.2650370592
"('USA-road-d.', 1890815)",Boost Prim,32,5374996.834838999,419771.00352062663
"('USA-road-d.', 1890815)",Filter Kruskal,1,2788823.4438475,135567.52216103754
"('USA-road-d.', 1890815)",Filter Kruskal,2,2446213.5185545003,317617.874337187
"('USA-road-d.', 1890815)",Filter Kruskal,4,2024081.005615,271768.2798103151
"('USA-road-d.', 1890815)",Filter Kruskal,8,2017048.616699,1051824.285413713
"('USA-road-d.', 1890815)",Filter Kruskal,16,2310833.8724365,1118990.2490508277
"('USA-road-d.', 1890815)",Filter Kruskal,32,6411553.6287845,1195255.7075829082
"('USA-road-d.', 1890815)",Sequential Kruskal,1,2860742.165039,134942.14221546016
"('USA-road-d.', 1890815)",Sequential Kruskal,2,2668590.433105,255939.65052762424
"('USA-road-d.', 1890815)",Sequential Kruskal,4,2459884.5124515,552283.0387556357
"('USA-road-d.', 1890815)",Sequential Kruskal,8,2370492.0822754996,307374.09274196264
"('USA-road-d.', 1890815)",Sequential Kruskal,16,2255033.9019775,252719.32615022143
"('USA-road-d.', 1890815)",Sequential Kruskal,32,2257389.3396,266296.0589675059
